INFO:main:n_100m_46k_10p_0.2.txt:, running time: 205.0709916248452, res: [16, 13, 20, 16, 19, 15, 16, 15, 16, 13], res_th: [311, 311, 311, 311, 311, 311, 311, 311, 311, 311], training_time: [11.256210166960955, 13.95240154187195, 10.430327499983832, 54.4788563339971, 10.789529124973342, 11.902449249988422, 10.807436750037596, 12.737460125004873, 12.767670791130513, 52.380064292112365], mapping_time: [0.3597741660196334, 0.3509026251267642, 0.3590335419867188, 0.3573206658475101, 0.3537362499628216, 0.3580917080398649, 0.3567983750253916, 0.340668415883556, 0.3459174579475075, 0.35608995892107487]
INFO:main:n_100m_54k_10p_0.2.txt:, running time: 283.8828064589761, res: [21, 37, 0, 21, 15, 20, 31, 0, 0, 14], res_th: [272, 272, 272, 272, 272, 272, 272, 272, 272, 272], training_time: [62.84253341611475, 12.446815416915342, 62.54550770786591, 13.351391708943993, 12.621725084027275, 12.252823541872203, 13.359455792000517, 15.940535750007257, 62.04838929185644, 12.702581207966432], mapping_time: [0.37356016621924937, 0.4021684171166271, 0.37334099994041026, 0.3721006668638438, 0.3797570001333952, 0.3671386670321226, 0.3715378341730684, 0.3739563331473619, 0.3700206249486655, 0.362216749927029]
INFO:main:n_100m_62k_10p_0.2.txt:, running time: 396.0648690001108, res: [0, 0, 0, 28, 0, 0, 0, 0, 0, 31], res_th: [284, 284, 284, 284, 284, 284, 284, 284, 284, 284], training_time: [72.24250916694291, 16.185271250084043, 17.319098667008802, 74.00449895788915, 17.38027941598557, 17.414597833994776, 73.14935658313334, 14.73486249987036, 16.637694125063717, 73.04763187491335], mapping_time: [0.3907231669872999, 0.3842683748807758, 0.39065466704778373, 0.39685429097153246, 0.3908156668767333, 0.3951173750683665, 0.39721550000831485, 0.40107512497343123, 0.3872652091085911, 0.38701208285056055]
INFO:main:n_100m_30k_10p_0.2.txt:, running time: 128.9386229161173, res: [6, 9, 7, 6, 6, 10, 10, 10, 9, 5], res_th: [227, 227, 227, 227, 227, 227, 227, 227, 227, 227], training_time: [32.23238654085435, 7.7824353750329465, 7.790516417007893, 31.590461999876425, 6.841378000099212, 6.9290942079387605, 7.929678540909663, 8.88771108398214, 7.9534406249877065, 7.759677875088528], mapping_time: [0.32346941716969013, 0.3167326671537012, 0.325161290820688, 0.31493100011721253, 0.31415479187853634, 0.32004587491974235, 0.32067695795558393, 0.3232360000256449, 0.32364366692490876, 0.33808437502011657]
INFO:main:n_100m_70k_10p_0.2.txt:, running time: 378.27038920810446, res: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], res_th: [331, 331, 331, 331, 331, 331, 331, 331, 331, 331], training_time: [21.651100625051185, 19.677572875050828, 17.20884874998592, 18.79218904208392, 82.27532212506048, 16.118597666034475, 18.527757541975006, 81.75766650005244, 16.599095333134755, 81.53465933306143], mapping_time: [0.41814933298155665, 0.4134985839482397, 0.41775270784273744, 0.40243783383630216, 0.4056047920603305, 0.40275187510997057, 0.403762917034328, 0.40614241687580943, 0.4081051251851022, 0.40490933298133314]
INFO:main:n_100m_22k_10p_0.2.txt:, running time: 112.21098066703416, res: [4, 3, 3, 3, 3, 3, 5, 4, 2, 2], res_th: [148, 148, 148, 148, 148, 148, 148, 148, 148, 148], training_time: [5.874022624921054, 5.078922958113253, 5.580037124920636, 23.989628290990368, 23.96578620793298, 4.9696667089592665, 5.439022792037576, 5.775201624957845, 4.540030082920566, 23.995538624934852], mapping_time: [0.2950229998677969, 0.294334625126794, 0.29681245889514685, 0.2985080829821527, 0.29564979183487594, 0.3003480830229819, 0.2932857919950038, 0.30928904190659523, 0.30335783399641514, 0.30393037502653897]
INFO:main:n_100m_52k_10p_0.2.txt:, running time: 314.2073516661767, res: [17, 0, 24, 0, 17, 19, 15, 0, 22, 0], res_th: [273, 273, 273, 273, 273, 273, 273, 273, 273, 273], training_time: [58.76669020904228, 12.157433707965538, 13.432412083027884, 12.443632625043392, 58.46507312497124, 58.91896979184821, 12.322240750072524, 58.892759915906936, 11.36364920809865, 13.74635999999009], mapping_time: [0.3669467919971794, 0.37045995821245015, 0.36616687499918044, 0.37088804109953344, 0.3596076250541955, 0.36003658291883767, 0.3653411250561476, 0.36257575009949505, 0.36229366599582136, 0.3756031671073288]
INFO:main:n_100m_40k_10p_0.2.txt:, running time: 186.2949808749836, res: [21, 15, 15, 15, 13, 15, 10, 16, 16, 15], res_th: [274, 274, 274, 274, 274, 274, 274, 274, 274, 274], training_time: [40.52945208409801, 8.091446375008672, 9.569009375059977, 8.53904779185541, 8.946636207867414, 40.25566158280708, 40.49191754194908, 8.373998209135607, 8.27434291690588, 9.692413458134979], mapping_time: [0.33780783391557634, 0.34169616689905524, 0.3442467499990016, 0.33800233411602676, 0.33721037511713803, 0.3382789168972522, 0.3363801669329405, 0.34060558304190636, 0.33858624985441566, 0.3296555420383811]
INFO:main:n_100m_76k_10p_0.2.txt:, running time: 396.1306197498925, res: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], res_th: [432, 432, 432, 432, 432, 432, 432, 432, 432, 432], training_time: [19.018517000135034, 85.50050125014968, 18.57843858306296, 18.250586707843468, 19.51058429083787, 21.545847665984184, 85.29802891705185, 18.427599625196308, 85.41053970903158, 20.355828166007996], mapping_time: [0.4175214159768075, 0.4165025830734521, 0.4213785829488188, 0.42182175000198185, 0.4194156671874225, 0.41430270788259804, 0.423236875096336, 0.4189796671271324, 0.4224699998740107, 0.4156908330041915]
INFO:main:n_100m_24k_10p_0.2.txt:, running time: 129.93149995896965, res: [4, 3, 1, 4, 5, 2, 5, 4, 5, 5], res_th: [120, 120, 120, 120, 120, 120, 120, 120, 120, 120], training_time: [6.7915537499357015, 5.808008500142023, 5.984326833160594, 27.511095041874796, 6.596550833201036, 6.883591749938205, 6.526447125012055, 27.52917562518269, 27.528662458062172, 5.772365290904418], mapping_time: [0.2975238331127912, 0.2998898751102388, 0.2945882501080632, 0.29036983381956816, 0.3023687091190368, 0.3069580409210175, 0.29710658290423453, 0.30301379202865064, 0.2956517501734197, 0.2975670408923179]
